com.apple.Terminal,2032
com.apple.finder,16761
com.microsoft.VSCode,7967
company.thebrowser.Browser,108906
notion.id,87523
com.spotify.client,16204
net.whatsapp.WhatsApp,30843
com.apple.systempreferences,3848
com.memoryvault.MemoryVault,166
com.apple.iCal,515
ru.keepcoder.Telegram,2716
com.charliemonroe.Downie-4,43
com.apple.AppStore,2272
com.xiaomi.mihome,4977
com.google.ios.youtube,118231
com.burbn.instagram,51639
com.apple.Preview,3713
com.google.photos,11893
com.facebook.stellaapp,3362
com.apple.mobilesafari,55590
com.apple.mobileslideshow,7877
com.intel.mde36084,398
com.plexapp.plex,11007
com.playstation.eu.playstationadhoc,1617
com.lumiunited.pre.homekit,438
io.robbie.HomeAssistant,33412
com.oculus.twilight,1590
com.tunnelbear.ios.TunnelBear,233
com.google.Gmail,1707
ph.telegra.Telegraph,3655
com.oceanwing.z.smarthome,253
com.apple.Preferences,4209
com.google.calendar,1119
com.apple.camera,891
com.realvnc.VNCViewer,927
com.withings.wiScaleNG,1449
com.google.Chromecast,545
com.tplink.tapo,91
com.macpaw.CleanMyMac4,1425
org.qbittorrent.qBittorrent,372
co.broadcastapp.RadiantApp,435
com.apple.mail,1852
com.apple.journal,1405
jp.co.sony.songpal.mdr,441
com.google.Authenticator,254
com.apple.Health,252
com.atebits.Tweetie2,313
ch.zkb.iapp,422
com.max-langer.Latest,878
AlexisBarreyat.BeReal,384
com.huawei.smartpvms,1416
com.apple.findmy,2510
com.google.GoogleMobile,698
com.apple.mobiletimer,19
com.apple.printcenter,6
com.microsoft.Word,481
com.microsoft.autoupdate2,36
com.yourcompany.PPClient,228
ch.visecaone,108
com.revolut.revolut,180
app.gentler.activity,312
company.thebrowser.ArcMobile,335
com.google.tasks,407
com.focos,156
ch.publibike.app,100
com.apple.weather,54
ch.ethz.ios.eduapp,427
com.apple.ScreenSharing,1567
com.logitech.ue.ueboom,133
com.imagetasks.mac.Lockera,159
com.apphousekitchen.aldente-pro,231
com.parallels.desktop.console,1722
com.apple.archiveutility,79
cc.ffitch.shottr,168
com.apple.installer,25
cloud.shelly.app,193
5Q4J53EFRC.com.sbb.ch,912
epp.package.java,5106
com.apple.Music,94
com.apple.MobileSMS,98
com.apple.MobileAddressBook,126
com.apple.webapp,40
com.google.Maps,370
com.apple.Automator,728
com.apple.ScriptEditor2,143
com.apple.TextEdit,75
com.philips.lighting.hue2,551
ch.zkb.twint,198
com.apple.Bridge,48
com.logi.optionsplus,732
com.apple.mobilenotes,8466
org.blenderfoundation.blender,502
net.pornel.ImageOptim,146
com.waseem.TempBox,155
com.apple.Console,480
com.apple.SetupAssistant,54
com.apple.BarcodeScanner,89
com.apple.Fitness,9
com.cloudflare.1dot1dot1dot1,23
com.apple.TVRemoteUIService,129
com.apple.DocumentsApp,235
com.solarManager.endUserApp,39
com.apple.PosterBoard,37
net.medx.Ada.production,365
cn.com.broadlink.econtrol.international,154
com.apple.compass,154
com.panasonic.jp.ACCsmart,222
com.ookla.speedtest,373
ai.topicfinder.podcastdiscovery,102
com.netflix.Speedtest,13
com.apple.InCallService,4
com.apple.Passbook,93
com.apple.ActivityMonitor,45
com.logitech.FirmwareUpdateTool,20
com.logi.optionsplus.installer,40
com.apple.ScriptEditor.id.RestartOnCrash-FindMyNetwork,16
com.adobe.acc.AdobeCreativeCloud,16
com.hnc.Discord,73
com.playstation.psremoteplay,18668
com.miketigas.OnionBrowser,3777
ai.lumalabs.lumacapture,1860
com.apple.mobilephone,3
com.niksoftware.snapseedforipad,2
ch.asvz.asvz,62
ch.ethz.ethmoodle,1
com.apple.Maps,41
com.apple.Dictionary,3
com.oculus.remotedesktop,483
com.realvnc.vncviewer,1369
com.parallels.winapp.8c4731f1a5288444bb2510ff8d967cc3.3d056ddce5e748a7bb734ab2c956f8a2.fs,0
com.parallels.winapp.f4f70727dc34561dfde1a3c529b6205c.3d056ddce5e748a7bb734ab2c956f8a2,0
com.parallels.winapp.532fa945e8ed38b30831b4c566845046.21db55c7dc4542c48f040139f96ab883.fs,0
com.parallels.winapp.01fc2ba6768b02ea95f242781125f9f1.21db55c7dc4542c48f040139f96ab883,0
com.apple.Safari,29
com.sindresorhus.Color-Picker,121
com.apple.shortcuts,4
org.upscayl.Upscayl,27
com.apple.Installer-Progress,30
com.ifunography.HealthExport,13
com.linkedin.LinkedIn,397
com.apple.keychainaccess,33
com.fing.app,38
com.apple.QuickTimePlayerX,201
ch.zkb.digipass,41
